,0,1,2,3,4,5,6,7,8,9
675,"(577.0306, 27.537846)","(576.80145, 27.581995)","(576.72253, 27.61246)","(576.6663, 27.627462)","(576.6405, 27.63771)","(576.5127, 27.727676)","(576.47455, 27.722181)","(576.4369, 27.727015)","(576.41504, 27.733139)","(576.4013, 27.744993)"
676,"(317.39645, 291.49988)","(317.50153, 291.4991)","(317.6084, 291.50433)","(317.724, 291.50793)","(317.8317, 291.4933)","(317.98706, 291.49493)","(319.47714, 291.35223)","(319.77383, 290.80975)","(320.3092, 291.2496)","(319.91672, 291.14084)"
677,"(222.82118, 481.3718)","(222.75734, 481.3714)","(222.68233, 481.36563)","(222.61424, 481.35168)","(222.59422, 481.33844)","(222.58746, 481.32556)","(222.5745, 481.3122)","(222.5679, 481.30017)","(222.50716, 481.29105)","(222.44789, 481.2822)"
678,"(23.632198, 600.01764)","(23.626423, 600.08185)","(23.624802, 600.147)","(23.627981, 600.21594)","(23.628345, 600.2534)","(23.620434, 600.27246)","(23.612923, 600.3104)","(23.601946, 600.3323)","(23.600721, 600.329)","(23.60162, 600.32434)"
679,"(136.49164, 410.75275)","(136.51218, 410.74036)","(136.533, 410.72385)","(136.55447, 410.71152)","(136.54477, 410.71576)","(136.54286, 410.72592)","(136.53784, 410.73315)","(136.53125, 410.7466)","(136.53355, 410.74255)","(136.53552, 410.7468)"
680,"(387.49796, 125.4254)","(387.489, 125.32358)","(386.76224, 125.189186)","(386.75, 125.16217)","(386.48837, 124.97691)","(386.20514, 124.779915)","(386.18576, 124.71439)","(385.60272, 124.580734)","(385.59897, 124.58093)","(385.60165, 124.57464)"
681,"(193.34508, 118.28238)","(192.95691, 118.21614)","(192.87254, 118.13846)","(192.55115, 117.999245)","(192.55638, 117.99688)","(192.55606, 117.99664)","(192.55014, 117.99732)","(192.54597, 117.9988)","(192.54263, 117.9992)","(192.54674, 117.99294)"
682,"(292.32996, 137.48601)","(292.28107, 140.4464)","(291.8828, 141.3565)","(291.8742, 141.3502)","(291.8762, 141.3441)","(291.50922, 140.8191)","(291.43405, 140.65419)","(291.16498, 140.10185)","(291.07495, 139.83348)","(290.97302, 139.58762)"
683,"(1008.1318, 127.98242)","(1007.5979, 127.95104)","(1007.1106, 127.90711)","(1006.83057, 127.915016)","(1006.767, 127.895355)","(1006.7258, 127.88606)","(1006.6744, 127.876305)","(1006.637, 127.86352)","(1006.58673, 127.85966)","(1006.54663, 127.852646)"
684,"(20.45729, 480.34738)","(20.45742, 480.34732)","(20.457077, 480.34787)","(20.457077, 480.34787)","(20.471073, 480.34058)","(20.47881, 480.33774)","(20.487991, 480.3327)","(20.49451, 480.33322)","(20.49414, 480.3283)","(20.566715, 479.48282)"
685,"(714.1467, 171.89574)","(714.1503, 171.88245)","(714.1523, 171.87059)","(714.1596, 171.85913)","(714.15826, 171.86482)","(714.1576, 171.85863)","(714.1541, 171.85605)","(714.1491, 171.8481)","(714.1561, 171.853)","(714.1705, 171.85126)"
